Name;Type;Unique Unit;Unique Techs;Team Bonus;Civ Bonus
Aztecs;Infantry and Monk;Jaguar Warrior;Atlatl (Castle), Garland Wars (Imperial);Relics generate +33% gold;Villagers carry +5 / Military units (except Monks) created 15% faster / +5 Monk hit points for each Monastery technology / Start with +50 gold
Berbers;Cavalry and Naval;Camel Archer, Genitour (archery range);Kasbah (Castle), Maghrabi Camels (Imperial);Genitour available in Archery Range;Villagers movement speed *1.1 (10% faster) / Ships movement speed *1.1 (10% faster) / Stable units cost *0.85 (15% cheaper) in Castle Age and *0.8 (20% cheaper) in Imperial Age
Britons;Foot archer;Longbowman;Yeomen (Castle), Warwolf (Imperial);Archery Ranges work 20% faster;Town Centers cost -50% wood upon reaching the Castle Age / Foot archers (excluding Skirmishers) have +1 range in Castle Age / +1 in Imperial Age (for +2 total) / Shepherds work 25% faster
Burmese;Monk and Elephant;Arambai;Howdah (Castle), Manipur Cavalry (Imperial);Relics visible on map (3x3 square, all visible);Free Lumbercamp upgrades / Infantry +1 attack per Age (starting in Feudal) / Monastery techs cost *0.5 (50% cheaper)
Byzantines;Defensive;Cataphract;Greek Fire (Castle), Logistica (Imperial);Monks +50% heal speed;Buildings (except gates) have +10% HP in Dark Age, +20% HP in Feudal Age, +30% in Castle Age, +40% in Imperial Age / Spearman, skirmisher and camel lines cost 25% less / Fire Ships attack 20% faster / Imperial Age costs -33% / Town Watch is free
Celts;Infantry;Woad Raider;Stronghold (Castle), Furor Celtica (Imperial);Siege Workshops work 20% faster;Infantry move 15% faster / Lumberjacks work 15% faster / Siege weapons reload 20% faster / Sheep cannot be stolen if within one Celt unit's line of sight
Chinese;Archer;Chu Ko Nu;Great Wall (Castle), Rocketry (Imperial);Farms provide +45 food;Start game with 3 extra villagers but -50 wood and -200 food / Technologies cost -10% in Feudal Age, -15% in Castle Age, -20% in Imperial Age / Town Centers support 10 population instead of 5 / Town Center +5 LOS / Demolition Ships have +50% HP
Ethiopians;Archer;Shotel Warrior;Royal Heirs (Castle), Torsion Engines (Imperial);Towers, outposts +3 LOS;Receive 100F 100G upon advancing to next age / Pikeman and Halberdier upgrades are free /  Foot archers reload time *0.85 (-15%)
Franks;Cavalry;Throwing Axeman;Chivalry (Castle), Bearded Axe (Imperial) ;Knights have +2 line of sight;Foragers work 25% faster / Castles are 25% cheaper / Cavalry has +20% HP / Farm upgrades are free (Mill is required to receive bonus)
Goths;Infantry;Huskarl;Anarchy (Castle), Perfusion (Imperial);Barracks operate 20% faster;Infantry cost 35% less (starting in Feudal Age) / Infantry have +1 attack against buildings / Villagers have +5 attack versus wild boar / Hunters carry +15 meat / +10 to population limit in Imperial Age
Huns;Cavalry;Tarkan;Marauders (Castle), Atheism (Imperial);Stables are 20% faster;Houses are not required to support population, start game with -100 Wood / Cavalry Archers cost -10% in Castle Age, -20% in Imperial Age / Trebuchets are 35% more accurate
Incas;Infantry;Kamayuk, Slinger (Archery Range);Andean Sling (Castle), Couriers (Imperial);Farms built 50% faster;Start with free llama / Villagers affected by blacksmith upgrades / Houses support 10 population / Buildings cost -15% stone
Indians;Camel and gunpowder;Elephant Archer, Imperial Camel (Stable);Sultans (Castle), Shatagni (Imperial) ;Camels +6 attack vs buildings, Mamelukes and Camel Archers +5 vs buildings;Villagers Cost -10% in Dark, -15% in Feudal, -20% in Castle, -25% in Imperial / Fishermen(villagers) work 15% faster and carry +15 / Camels +1/+1 armor
Italians;Archer and naval civilization;Genoese Crossbowman, Condottiero (Barracks);Pavise (Castle), Silk Road (Imperial);Condottiero available in imperial barracks;Advancing to the next age costs -15% / Dock techs cost -50% / Fishing ships cost -15W / Gunpowder units cost -20%
Japanese;Infantry;Samurai;Yasama (Castle), Kataparuto (Imperial);Galleys have +50% line of sight;Fishing Ships have 2x HP and +2 pierce armor / Fishing Ships work +5% faster in Dark Age, +10% in Feudal Age, +15% in Castle Age, +20% in Imperial Age / Lumber Camps, Mining Camps, and Mills are 50% cheaper / Infantry attack 25% faster (starting in Feudal Age)
Khmer;Siege and Elephant;Ballista Elephant;Tusk Swords (Castle), Double Crossbow (Imperial);Scorpions +1 range;No buildings required to advance through Ages or unlock other buildings / Battle Elephants speed *1.15 (15% faster) / Villagers can garrison in Houses
Koreans;Tower and naval;War Wagon, Turtle Ship;Panokseon (Castle), Shinkichon (Imperial);Mangonel line minimum range reduced to 1 (from 3);Villagers have +3 line of sight / Stone miners work 20% faster / Guard Tower and Keep upgrades are free / Towers (except bombard towers) have +1 range in Castle Age, +2 in Imperial Age / Fortifications (walls, gates, castles, towers) are built 25% faster
Magyars;Cavalry civilization;Magyar Huszar;Mercenaries (Castle), Recurve bow (Imperial);Foot archers (not skirmishers) +2 LOS;Villagers kill wolves in 1 strike / Melee upgrades (forging, iron casting, blast furnace) in blacksmith free / Scout line costs -15%
Malay;Naval;Karambit Warrior;Thalassocracy (Castle), Forced Levy (Imperial);Docks 2x LOS;Advancing to ages 80% faster / Fish Traps cost -33% / Fish Traps provide unlimited food / Battle Elephants cost *0.75 (25% cheaper)
Malians;Infantry;Gbeto;Tigui (Castle), Farimba (Imperial);University works 1.8x faster (80% faster);Barracks units get +1 pierce armor per age / Buildings (except Farms) wood cost *0.85 (15% cheaper) / Gold mining upgrades free
Mayans;Archer;Plumed Archer;Obsidian Arrow (Castle), El Dorado (Imperial);Walls are 50% cheaper;Start game with 1 extra villager, -50 food / Natural resources last 15% longer / Archers cost -10% in Feudal Age, -20% in Castle Age, -30% in Imperial Age
Mongols;Cavalry Archer;Mangudai;Nomads (Castle), Drill (Imperial) ;Scout line has +2 LOS;Cavalry Archers reload 20% faster / Light Cavalry and Hussars have +30% HP / Hunters work 50% faster
Persians;Cavalry;War Elephant;Boiling Oil (Castle), Mahouts (Imperial);Knights have +2 attack versus Archers;Start game with +50 wood and food / Town Center and Docks have 2x HP / Town Centers and Docks operate +10% faster in Feudal Age, +15% in Castle Age, +20% in Imperial Age
Portuguese;Naval and Gunpowder;Organ Gun, Caravel (dock);Carrack (Castle), Arquebus (Imperial);Free cartography from Dark Age;All units cost -15% gold (0.85*cost) / All ships 1.1*HP (+10%) / Get Feitoria
Saracens;Camel and naval;Mameluke;Madrasah (Castle), Zealotry (Imperial);Foot archers have +2 attack bonus against buildings;Market costs -75W / Market trade cost is only 5% / Transport Ships have 2x HP and carry capacity / Galleys attack 20% faster / Cavalry Archers have +4 attack bonus against buildings 
Slavs;Infantry and Siege;Boyar;Orthodoxy (Castle), Druzhina (Imperial);Military buildings (barracks, archery ranges, siege workshops and stables) provide +5 population;Farmers work ~15% faster without upgrades / Tracking free / Siege units from siege workshop 15% cheaper
Spanish;Gunpowder and Monk;Conquistador, Missionary;Inquisition (Castle), Supremacy (Imperial);Trade units generate +25% Gold;Villagers construct buildings 30% faster / Blacksmith upgrades do not cost any gold / Cannon Galleons benefit from Ballistics (less reload time and more accuracy) / Hand Cannoneers and Bombard Cannons reload 15% faster
Teutons;Infantry;Teutonic Knight;Ironclad (Castle), Crenellations (Imperial);Units are more resistant to conversion;Monks have 2x healing range / Towers can garrison 2x units (more arrows) / Murder Holes is free / Farms cost 33% less / Town Centers garrison +10 units (total 25), total amount of arrows +5 (max 16)
Turks;Gunpowder;Janissary;Sipahi (Castle), Artillery (Imperial);Gunpowder units are created 20% faster;Gunpowder Units have +25% HP / Gunpowder technologies cost 50% less / Chemistry is free / Gold miners work 20% faster / Light Cavalry and Hussar upgrades are free
Vietnamese;Archer;Rattan Archer, Imperial Skirmisher (archery range);Chatras (Castle), Paper Money (Imperial);Access to Imperial Skirmisher upgrade;Reveal enemy positions at game start / Archery Range units +10% HP in Feudal, +15% in Castle, +20% in Imperial Age / Free Conscription
Vikings;Infantry and naval;Berserk, Longboat;Chieftains (Castle), Berserkergang (Imperial);Docks are -15% cheaper;Warships cost -15% in Feudal/Castle, -20% in Imperial Age / Infantry have +10% HP in Feudal Age, +15% in Castle Age, +20% in Imperial Age / Wheelbarrow and Hand Cart are free / 
